14   92
 65   43
 84   18
 86    7
 35   33
 56   41
 70   81
 68   71
  8   93
 64   51
 66   67
 53   12
 15   89
 54   96
 29   94
 95   16
 48    9
 73   24
  2   39
 37   80
 88   28
 77   32
 98   62
 59   26
 17   69
 78   63
 31   42
 44   40
 87   38
 97    4
 57   79
 47   34
 23   60
 76   50
 36   82
  1   74
 72   91
 58   85
 55   20
 46   90
 25   45
 13   21
 61   30
 52   99
 19   11
 83  100
  3    5
 75   22
 27   49
  6   10
100  100
200  200
400  400
500  500
600  600
700  700
123  123
122  421
