65   52
 21   66
 28   25
 16   62
 44   79
 40   54
 77   71
 67   78
 58   73
 75   90
 92   96
 64   99
 41   34
 29   24
 56   57
 89   83
 20   15
 88   49
 51   76
 80   50
 26   82
 94   32
 45   95
 98   74
 17   69
 38    8
 87   86
 11   27
 55   22
 10   97
 93   53
 60   14
 12   61
 68   33
 18   37
 47   63
 70   72
 85   39
 42    5
  2   23
 48   31
 59    7
  6   46
 91   81
  9    1
 43    4
  3   84
 13   35
 30   19
100   36
 46   44
 79   84
 53   16
 97   96
 41   91
  9    5
 64   65
 88   88
 92   92
 11   11
100   100
