40   41
 17   42
 90    8
  7   94
 50   11
 86   38
 85    2
 65   98
 30   51
 76   64
 54   92
 33   83
 37    5
100   93
 32   72
 66   58
 52   22
 13   63
 67   95
 15    3
 78   89
 79   48
 10   70
  6   26
 61   80
 97   36
 91   12
 18   55
 44   74
 53   82
 35   60
 68   25
 71   56
 62   75
 99   14
 46   24
 34   77
 88    4
 19   27
 87   57
 69   81
 16   47
 28   32
 30   60
 17   27
 85   61
 82    3
 21   68
 80   18
 89   70
 14   99
 13   96
 52   25
 23   72
 73   47
 67    5
 90   90

